Customer_ID,Acquisition Week,Weeks Since Acquisition,Retention Percentage,Monetary Value,Churn Probability,Prescriptive Action,Projected 12-Week Revenue_At_Risk,Net Protected Revenue (25%)
1,39,0,0.8947,2884.66,0.1858,HOLD: Monitor Only,160.76,0.0
2,52,1,0.7208,12342.16,0.2508,HOLD: Monitor Only,928.46,0.0
3,29,3,0.5486,372.0,0.6115,HOLD: Monitor Only,68.25,0.0
4,15,8,0.2608,4046.09,0.2461,HOLD: Monitor Only,298.68,0.0
5,43,9,0.2355,268.95,0.3882,HOLD: Monitor Only,31.32,0.0
6,8,31,0.0719,1069.36,0.8029,DEPLOY: $5 Standard Discount Email,257.59,64.4
7,21,31,0.0897,457.55,0.5139,HOLD: Monitor Only,70.54,0.0
8,39,5,0.4444,5066.01,0.5322,HOLD: Monitor Only,808.79,0.0
9,19,16,0.1225,187.23,0.8834,DEPLOY: $5 Standard Discount Email,49.62,12.4
10,23,9,0.2395,1371.83,0.9802,DEPLOY: $5 Standard Discount Email,403.4,100.85
11,11,26,0.0842,450.1,0.9878,DEPLOY: $5 Standard Discount Email,133.38,33.35
12,11,34,0.0359,648.22,0.4329,HOLD: Monitor Only,84.18,0.0
13,24,19,0.0693,779.89,0.4882,HOLD: Monitor Only,114.23,0.0
14,36,14,0.1418,8803.68,0.0707,HOLD: Monitor Only,186.67,0.0
15,40,3,0.5194,1209.21,0.7895,DEPLOY: $5 Standard Discount Email,286.41,71.6
16,24,28,0.0344,14368.46,0.0266,HOLD: Monitor Only,114.5,0.0
17,3,8,0.3287,18470.01,0.2998,HOLD: Monitor Only,1661.25,0.0
18,22,26,0.0349,22843.47,0.0077,HOLD: Monitor Only,52.63,0.0
19,2,25,0.0451,1684.93,0.5468,HOLD: Monitor Only,276.39,0.0
20,24,18,0.1052,2327.22,0.366,HOLD: Monitor Only,255.49,0.0
21,44,7,0.3324,2845.65,0.1142,HOLD: Monitor Only,97.46,0.0
22,30,16,0.1179,1163.3,0.3358,HOLD: Monitor Only,117.2,0.0
